altitude_m, temp_C, pressure_hPa, density_kg_m3
     0.0,  15.00, 1013.25, 1.2250
   100.0,  14.35, 1001.30, 1.2133
   200.0,  13.70,  989.47, 1.2017
   300.0,  13.05,  977.75, 1.1901
   400.0,  12.40,  966.14, 1.1787
   500.0,  11.75,  954.65, 1.1673
   600.0,  11.10,  943.26, 1.1560
   700.0,  10.45,  931.99, 1.1448
   800.0,   9.80,  920.82, 1.1337
   900.0,   9.15,  909.77, 1.1227
  1000.0,   8.50,  898.82, 1.1117
  1100.0,   7.85,  887.98, 1.1009
  1200.0,   7.20,  877.24, 1.0901
  1300.0,   6.55,  866.61, 1.0794
  1400.0,   5.90,  856.08, 1.0688
  1500.0,   5.25,  845.66, 1.0582
  1600.0,   4.60,  835.34, 1.0477
  1700.0,   3.95,  825.13, 1.0374
  1800.0,   3.30,  815.01, 1.0270
  1900.0,   2.65,  805.00, 1.0168
  2000.0,   2.00,  795.08, 1.0067
  2100.0,   1.35,  785.27, 0.9966
  2200.0,   0.70,  775.55, 0.9866
  2300.0,   0.05,  765.93, 0.9767
  2400.0,  -0.60,  756.40, 0.9668
  2500.0,  -1.25,  746.98, 0.9571
  2600.0,  -1.90,  737.65, 0.9474
  2700.0,  -2.55,  728.41, 0.9378
  2800.0,  -3.20,  719.27, 0.9282
  2900.0,  -3.85,  710.22, 0.9187
  3000.0,  -4.50,  701.26, 0.9094
  3100.0,  -5.15,  692.39, 0.9000
  3200.0,  -5.80,  683.62, 0.8908
  3300.0,  -6.45,  674.93, 0.8816
  3400.0,  -7.10,  666.34, 0.8725
  3500.0,  -7.75,  657.83, 0.8635
  3600.0,  -8.40,  649.41, 0.8545
  3700.0,  -9.05,  641.08, 0.8456
  3800.0,  -9.70,  632.84, 0.8368
  3900.0, -10.35,  624.68, 0.8281
  4000.0, -11.00,  616.61, 0.8194
  4100.0, -11.65,  608.62, 0.8108
  4200.0, -12.30,  600.71, 0.8023
  4300.0, -12.95,  592.89, 0.7938
  4400.0, -13.60,  585.16, 0.7854
  4500.0, -14.25,  577.50, 0.7771
  4600.0, -14.90,  569.93, 0.7688
  4700.0, -15.55,  562.43, 0.7606
  4800.0, -16.20,  555.02, 0.7525
  4900.0, -16.85,  547.68, 0.7444
  5000.0, -17.50,  540.43, 0.7364
  5100.0, -18.15,  533.25, 0.7285
  5200.0, -18.80,  526.15, 0.7206
  5300.0, -19.45,  519.12, 0.7128
  5400.0, -20.10,  512.18, 0.7051
  5500.0, -20.75,  505.30, 0.6974
  5600.0, -21.40,  498.51, 0.6898
  5700.0, -22.05,  491.78, 0.6823
  5800.0, -22.70,  485.13, 0.6748
  5900.0, -23.35,  478.56, 0.6674
  6000.0, -24.00,  472.05, 0.6600
  6100.0, -24.65,  465.62, 0.6527
  6200.0, -25.30,  459.26, 0.6455
  6300.0, -25.95,  452.97, 0.6384
  6400.0, -26.60,  446.75, 0.6312
  6500.0, -27.25,  440.59, 0.6242
  6600.0, -27.90,  434.51, 0.6172
  6700.0, -28.55,  428.50, 0.6103
  6800.0, -29.20,  422.55, 0.6034
  6900.0, -29.85,  416.67, 0.5966
  7000.0, -30.50,  410.86, 0.5899
  7100.0, -31.15,  405.11, 0.5832
  7200.0, -31.80,  399.42, 0.5765
  7300.0, -32.45,  393.81, 0.5700
  7400.0, -33.10,  388.25, 0.5635
  7500.0, -33.75,  382.76, 0.5570
  7600.0, -34.40,  377.34, 0.5506
  7700.0, -35.05,  371.97, 0.5442
  7800.0, -35.70,  366.67, 0.5380
  7900.0, -36.35,  361.43, 0.5317
  8000.0, -37.00,  356.25, 0.5255
  8100.0, -37.65,  351.13, 0.5194
  8200.0, -38.30,  346.07, 0.5133
  8300.0, -38.95,  341.06, 0.5073
  8400.0, -39.60,  336.12, 0.5014
  8500.0, -40.25,  331.24, 0.4955
  8600.0, -40.90,  326.41, 0.4896
  8700.0, -41.55,  321.64, 0.4838
  8800.0, -42.20,  316.93, 0.4781
  8900.0, -42.85,  312.27, 0.4724
  9000.0, -43.50,  307.67, 0.4667
  9100.0, -44.15,  303.12, 0.4611
  9200.0, -44.80,  298.63, 0.4556
  9300.0, -45.45,  294.19, 0.4501
  9400.0, -46.10,  289.81, 0.4447
  9500.0, -46.75,  285.48, 0.4393
  9600.0, -47.40,  281.20, 0.4339
  9700.0, -48.05,  276.97, 0.4287
  9800.0, -48.70,  272.80, 0.4234
  9900.0, -49.35,  268.67, 0.4182
 10000.0, -50.00,  264.60, 0.4131
